Command,Category,Description
hostname  /srv/www/,Linux,
depmod,Linux,
reboot,Linux,
watch,Linux,
lvscan,Linux,
kpartx -a,Linux,
passwd --all,Linux,
journalctl -s,Linux,
chgrp,Linux,
vgcreate  app.js,Linux,
pvresize,Linux,
killall  index.html,Linux,
env --version,Linux,
grub2-install,Linux,
lsmod  dir1,Linux,
lvcreate -c,Linux,
watch -l archive.tar.gz,Linux,
mkinitramfs -q,Linux,
su,Linux,
tmux -v index.html,Linux,
grub2-mkconfig,Linux,
rmdir -p style.css,Linux,
gzip -x,Linux,
e2fsck  /var/log/,Linux,
groupmod --force,Linux,
umount,Linux,
ls -n,Linux,
less,Linux,
grub-install --force dir2,Linux,
kill,Linux,
kpartx,Linux,
vim -s config.conf,Linux,
crontab -z,Linux,
crontab -x,Linux,
mount --version /etc/,Linux,
depmod,Linux,
date,Linux,
rsync  docker-compose.yml,Linux,
top  main.py,Linux,
e2fsck  config.yaml,Linux,
iptables  usb.img,Linux,
lvdisplay --interactive main.py,Linux,
tmux  file.txt,Linux,
sftp  backup.tar,Linux,
apt-get -p,Linux,
lsof --verbose /srv/www/,Linux,
mkfs.hfsplus,Linux,
grub2-mkconfig  output.txt,Linux,
update-grub  main.py,Linux,
userdel  script.sh,Linux,
fsck -m,Linux,
scp -y,Linux,
uname,Linux,
mkinitramfs -c,Linux,
env --all,Linux,
jobs -w /dev/sda1,Linux,
sfdisk  file.txt,Linux,
batch  logfile.log,Linux,
pkill,Linux,
mkfs.btrfs  network.log,Linux,
history  config.yaml,Linux,
losetup -x,Linux,
parted  app.js,Linux,
pvresize,Linux,
update-grub  file.txt,Linux,
logrotate -q backup.tar,Linux,
umount -y /tmp/,Linux,
chattr -h,Linux,
route  file1.log,Linux,
mkfs.msdos --recursive,Linux,
history -v file1.log,Linux,
grub-install,Linux,
mkfs.vfat  file1.log,Linux,
kill  /var/log/,Linux,
lvdisplay -e,Linux,
updatedb -i archive.tar.gz,Linux,
at,Linux,
parted  /etc/,Linux,
initramfs -q /home/user/,Linux,
scp,Linux,
iptables -l,Linux,
halt  dir2,Linux,
ifconfig -o file2.txt,Linux,
mv -n,Linux,
cd,Linux,
kill -h,Linux,
sed --all,Linux,
scp,Linux,
lsattr  app.js,Linux,
scp,Linux,
history -g,Linux,
pvcreate -t,Linux,
modprobe  report.csv,Linux,
ssh --help file.txt,Linux,
locate -z /mnt/usb,Linux,
blkid  report.csv,Linux,
strace --version,Linux,
mkpasswd  output.txt,Linux,
update-grub -t,Linux,
chattr,Linux,
bg --all usb.img,Linux,
touch -i playbook.yml,Linux,
lvscan  network.log,Linux,
parted -g,Linux,
uptime,Linux,
cryptdisks_start --version,Linux,
mkfs.hfsplus,Linux,
iostat -a dir2,Linux,
halt,Linux,
rmdir -z style.css,Linux,
groupmod --dry-run style.css,Linux,
df -m file2.txt,Linux,
mkfs.xfs --verbose /home/user/,Linux,
cd,Linux,
uname -f /home/user/,Linux,
"python -c ""print(1+1)""",Python,Executes a one-liner Python command
usermod -u,Linux,
ftp -d,Linux,
uptime  style.css,Linux,
ls -b /mnt/usb,Linux,
watch  docker-compose.yml,Linux,
bg  config.yaml,Linux,
groupdel -c /usr/local/,Linux,
bg  config.conf,Linux,
mkdir -r archive.tar.gz,Linux,
gdisk  network.log,Linux,
ssh  report.csv,Linux,
passwd,Linux,
updatedb -s,Linux,
screen,Linux,
fsck --quiet /srv/www/,Linux,
dnf,Linux,
tee --version,Linux,
lvremove -w dir2,Linux,
grub-install -g,Linux,
lvextend,Linux,
gpasswd  /dev/sda1,Linux,
cryptdisks_start  /var/log/,Linux,
partprobe --verbose,Linux,
at,Linux,
pvscan  logfile.log,Linux,
groupadd -g,Linux,
whoami -p,Linux,
cryptdisks_start -q kubernetes.yml,Linux,
mkfs.btrfs  network.log,Linux,
grub-mkconfig,Linux,
mkinitrd  usb.img,Linux,
usermod --quiet config.yaml,Linux,
chpasswd  /etc/,Linux,
sort -r script.sh,Linux,
ftp -z config.conf,Linux,
nano -e index.html,Linux,
history --quiet network.log,Linux,
grub-mkconfig,Linux,
tmux -i,Linux,
scp --quiet report.csv,Linux,
losetup,Linux,
cryptdisks_stop -u /home/user/,Linux,
lsattr --dry-run,Linux,
grub-install -z main.py,Linux,
ls -a style.css,Linux,
apt-get -d script.sh,Linux,
hostname  index.html,Linux,
kill,Linux,
lvremove -y,Linux,
lsmod,Linux,
gpasswd,Linux,
gunzip,Linux,
cryptdisks_start --quiet,Linux,
setfacl -f style.css,Linux,
losetup -x config.conf,Linux,
wget --all /home/user/,Linux,
jobs,Linux,
curl --dry-run,Linux,
mkfs.msdos -v,Linux,
dracut,Linux,
umount  /usr/local/,Linux,
sudoedit,Linux,
mount --version,Linux,
du  report.csv,Linux,
lvcreate -s file2.txt,Linux,
vgremove  dir2,Linux,
blkid --verbose /mnt/usb,Linux,
vgdisplay  report.csv,Linux,
chgrp --all,Linux,
reboot  /mnt/usb,Linux,
updatedb,Linux,
mkfs.msdos -v,Linux,
update-grub  config.yaml,Linux,
losetup -m,Linux,
du,Linux,
uniq -g /usr/local/,Linux,
update-initramfs,Linux,
gunzip --version,Linux,
vmstat,Linux,
mkfs.xfs  backup.tar,Linux,
umount  kubernetes.yml,Linux,
lvreduce -s usb.img,Linux,
su  /tmp/,Linux,
lvdisplay  kubernetes.yml,Linux,
mkfs.ext4 -m,Linux,
vgscan,Linux,
dnf,Linux,
mkfs.ntfs --verbose /home/user/,Linux,
vgreduce,Linux,
dracut -b,Linux,
service  dir1,Linux,
cd --help,Linux,
umount,Linux,
du  file.txt,Linux,
userdel --verbose index.html,Linux,
vgextend  style.css,Linux,
parted  docker-compose.yml,Linux,
tune2fs,Linux,
su,Linux,
pwd  index.html,Linux,
cryptdisks_stop  dir1,Linux,
lsblk -x,Linux,
mkdir -m,Linux,
blkid -c,Linux,
ps  playbook.yml,Linux,
lvreduce -i index.html,Linux,
getfacl,Linux,
grub2-install,Linux,
passwd -b network.log,Linux,
kill -n app.js,Linux,
batch -w,Linux,
pvcreate  logfile.log,Linux,
mkfs.xfs,Linux,
jobs -p,Linux,
cd,Linux,
dmsetup --recursive style.css,Linux,
mkfs.ext4,Linux,
vgremove  /tmp/,Linux,
cd  network.log,Linux,
cryptsetup -p /var/log/,Linux,
batch,Linux,
sfdisk,Linux,
grub-mkconfig -s archive.tar.gz,Linux,
grub-install -t,Linux,
losetup,Linux,
modprobe,Linux,
scp -e,Linux,
gzip -r backup.tar,Linux,
vgdisplay  /etc/,Linux,
ifconfig,Linux,
lvcreate,Linux,
losetup --recursive file.txt,Linux,
nohup -z script.sh,Linux,
systemctl --verbose /home/user/,Linux,
gunzip -b,Linux,
sudoedit,Linux,
gdisk -v,Linux,
vgscan,Linux,
cut --dry-run,Linux,
mkinitramfs -t /mnt/usb,Linux,
mkfs.xfs,Linux,
vgremove -p,Linux,
vgremove -b,Linux,
dracut -y,Linux,
grub-install -z,Linux,
swapon -s output.txt,Linux,
mkinitrd -l,Linux,
ls -b /mnt/usb,Linux,
bg --interactive,Linux,
mkfs.xfs -u,Linux,
sftp -y,Linux,
locate,Linux,
htop,Linux,
df -r,Linux,
mount -v file.txt,Linux,
lsblk -l,Linux,
parted --quiet,Linux,
groupdel  output.txt,Linux,
hostname -t /etc/,Linux,
ps --verbose disk.img,Linux,
df -n,Linux,
ls,Linux,
cfdisk -n,Linux,
journalctl -h /etc/,Linux,
more,Linux,
lvextend,Linux,
umount,Linux,
passwd --recursive output.txt,Linux,
df -z,Linux,
mkinitrd -n,Linux,
scp --quiet main.py,Linux,
ping -x /home/user/,Linux,
su -z docker-compose.yml,Linux,
passwd,Linux,
mkfs.ext4 --version,Linux,
lsusb -t,Linux,
resize2fs,Linux,
mkinitrd --quiet,Linux,
grub-install,Linux,
fsck,Linux,
gdisk  config.yaml,Linux,
umount,Linux,
pvmove,Linux,
chgrp -z,Linux,
lsusb -h,Linux,
umount,Linux,
vgscan -m /usr/local/,Linux,
tee --interactive /var/log/,Linux,
mkfs,Linux,
mkfs.xfs -m,Linux,
groupdel --help playbook.yml,Linux,
update-initramfs  logfile.log,Linux,
halt -w kubernetes.yml,Linux,
rsync,Linux,
mkfs.minix -a /dev/sda1,Linux,
update-initramfs  logfile.log,Linux,
mkinitrd,Linux,
parted  archive.tar.gz,Linux,
vmstat,Linux,
parted  main.py,Linux,
mkfs.vfat --all,Linux,
visudo,Linux,
rmdir  archive.tar.gz,Linux,
ifconfig,Linux,
vgscan --quiet dir1,Linux,
mkinitramfs,Linux,
mkfs.hfsplus -q backup.tar,Linux,
lvcreate  docker-compose.yml,Linux,
fsck  archive.tar.gz,Linux,
cryptsetup  logfile.log,Linux,
chpasswd,Linux,
ln -d /usr/local/,Linux,
kpartx --all archive.tar.gz,Linux,
rustc main.rs,Rust,Compiles a Rust source file
pkill,Linux,
ping -w,Linux,
ftp -y,Linux,
losetup -x,Linux,
grub-mkconfig -b,Linux,
vgscan -i,Linux,
cp --help playbook.yml,Linux,
losetup,Linux,
vmstat  app.js,Linux,
killall -d network.log,Linux,
mkfs.minix,Linux,
update-grub,Linux,
grub-mkconfig -w,Linux,
ifconfig,Linux,
update-grub,Linux,
pvscan -r,Linux,
kpartx -a,Linux,
tune2fs -v,Linux,
mkinitrd -z,Linux,
update-grub  file.txt,Linux,
ssh,Linux,
pvscan -p,Linux,
lsof,Linux,
dmsetup -e,Linux,
umount -n kubernetes.yml,Linux,
e2fsck --verbose,Linux,
iptables,Linux,
grub-install -g /mnt/usb,Linux,
vmstat -n,Linux,
parted --verbose usb.img,Linux,
head -r,Linux,
mkfs.btrfs -v /var/log/,Linux,
netstat --dry-run network.log,Linux,
mkfs.minix -z,Linux,
chown --force disk.img,Linux,
df -f,Linux,
lsmod  index.html,Linux,
echo -c dir2,Linux,
dnf  /var/log/,Linux,
tee -b,Linux,
service,Linux,
pvdisplay --version /dev/sda1,Linux,
at,Linux,
gpasswd -f /etc/,Linux,
parted,Linux,
sort -e style.css,Linux,
losetup -f /usr/local/,Linux,
nano -z,Linux,
lvm --version,Linux,
netstat,Linux,
echo --dry-run index.html,Linux,
rsync,Linux,
touch -r,Linux,
chage  /var/log/,Linux,
cryptdisks_stop,Linux,
find,Linux,
tune2fs -r /mnt/usb,Linux,
mkfs --verbose main.py,Linux,
visudo --version,Linux,
mkfs --interactive dir1,Linux,
lspci,Linux,
mkfs.msdos  logfile.log,Linux,
gunzip  /dev/sda1,Linux,
vgremove --verbose,Linux,
gdisk -w /var/log/,Linux,
dracut -o,Linux,
dracut -q playbook.yml,Linux,
gpasswd,Linux,
uname -g config.yaml,Linux,
xargs  /home/user/,Linux,
blkid -s,Linux,
sed,Linux,
scp  app.js,Linux,
watch --help,Linux,
jobs,Linux,
tr -e config.yaml,Linux,
rmdir -z style.css,Linux,
lvm,Linux,
screen,Linux,
screen,Linux,
grub-install -t,Linux,
apt-get  backup.tar,Linux,
dmstats --interactive,Linux,
cp,Linux,
mkdir -d,Linux,
mkinitramfs,Linux,
sftp -d disk.img,Linux,
journalctl  playbook.yml,Linux,
nano  backup.tar,Linux,
killall --version dir2,Linux,
df -y,Linux,
lvdisplay -v index.html,Linux,
ls -f style.css,Linux,
visudo,Linux,
vgremove,Linux,
cfdisk --version archive.tar.gz,Linux,
more  output.txt,Linux,
mkfs,Linux,
lspci  file2.txt,Linux,
vmstat  kubernetes.yml,Linux,
grub2-install --dry-run,Linux,
chpasswd,Linux,
df -t network.log,Linux,
cat -l /srv/www/,Linux,
less,Linux,
ssh,Linux,
update-initramfs -e /var/log/,Linux,
mkfs.hfsplus -q backup.tar,Linux,
mkfs.minix --interactive /mnt/usb,Linux,
chage  /var/log/,Linux,
mdadm -t,Linux,
pip install package,Python,Installs a Python package using pip
modprobe  app.js,Linux,
cryptdisks_stop,Linux,
journalctl -r,Linux,
vgcreate -t /etc/,Linux,
chgrp  usb.img,Linux,
grub2-install,Linux,
strace -e /home/user/,Linux,
grub-mkconfig --recursive script.sh,Linux,
mkfs.vfat  script.sh,Linux,
df --interactive,Linux,
screen,Linux,
blkid,Linux,
netstat,Linux,
passwd  /home/user/,Linux,
watch  docker-compose.yml,Linux,
uniq,Linux,
lsattr  file1.log,Linux,
blkid,Linux,
vmstat,Linux,
blkid --recursive style.css,Linux,
kpartx -l,Linux,
cfdisk -f script.sh,Linux,
cryptsetup -z,Linux,
umount,Linux,
batch -l file.txt,Linux,
uptime,Linux,
mkfs.xfs  backup.tar,Linux,
ps -v,Linux,
losetup --version main.py,Linux,
vgcreate -e report.csv,Linux,
mkinitrd -n,Linux,
top  /mnt/usb,Linux,
cryptsetup,Linux,
vmstat -w,Linux,
mkfs.hfsplus -q backup.tar,Linux,
e2fsck,Linux,
awk -u app.js,Linux,
fsck  logfile.log,Linux,
scp -c,Linux,
setfacl -x,Linux,
less  file2.txt,Linux,
mount  main.py,Linux,
chmod -d,Linux,
lsusb -t docker-compose.yml,Linux,
lspci  file2.txt,Linux,
sftp --help app.js,Linux,
free -y backup.tar,Linux,
fdisk --help,Linux,
lsusb -b disk.img,Linux,
route -s,Linux,
awk -b,Linux,
fg,Linux,
gunzip -g,Linux,
grub-install,Linux,
pvscan,Linux,
strace --verbose,Linux,
touch -i playbook.yml,Linux,
mkinitrd,Linux,
dracut  script.sh,Linux,
df  main.py,Linux,
update-grub -v dir1,Linux,
modinfo -b /mnt/usb,Linux,
mdadm -n config.yaml,Linux,
lvscan -m file2.txt,Linux,
dracut --quiet,Linux,
logrotate -i,Linux,
kill -r dir1,Linux,
cut,Linux,
pvmove -g app.js,Linux,
tune2fs  script.sh,Linux,
cfdisk,Linux,
batch,Linux,
dracut,Linux,
mv -d,Linux,
lsusb,Linux,
chage -v config.conf,Linux,
awk  backup.tar,Linux,
mount -x file2.txt,Linux,
lsmod,Linux,
cryptdisks_start  file.txt,Linux,
partprobe,Linux,
pwd,Linux,
mkpasswd,Linux,
pvresize,Linux,
mkinitrd,Linux,
lsusb -o,Linux,
cryptsetup  output.txt,Linux,
dmesg -y /usr/local/,Linux,
fsck,Linux,
vgremove --quiet,Linux,
lvscan,Linux,
tar -f,Linux,
tail  style.css,Linux,
sort -g network.log,Linux,
less,Linux,
mv -p playbook.yml,Linux,
vgreduce,Linux,
sort --version,Linux,
cryptsetup -m dir2,Linux,
lvremove,Linux,
pvresize --interactive,Linux,
sudo --force style.css,Linux,
updatedb --recursive usb.img,Linux,
pvresize -q /usr/local/,Linux,
journalctl -h,Linux,
mkfs.msdos -v /etc/,Linux,
grub-install  /dev/sda1,Linux,
mkswap --help report.csv,Linux,
update-initramfs  config.conf,Linux,
dmsetup -b logfile.log,Linux,
grub-mkconfig,Linux,
losetup -h main.py,Linux,
iptables,Linux,
uniq --version file1.log,Linux,
getfacl,Linux,
date  config.conf,Linux,
grub-mkconfig -u main.py,Linux,
curl,Linux,
mdadm --all file2.txt,Linux,
mkinitrd -x docker-compose.yml,Linux,
pvdisplay --force,Linux,
curl --interactive dir2,Linux,
modprobe,Linux,
getfacl,Linux,
userdel  file2.txt,Linux,
cryptsetup -i network.log,Linux,
grub-mkconfig  output.txt,Linux,
killall -e,Linux,
touch  disk.img,Linux,
vgcreate  disk.img,Linux,
gunzip,Linux,
du  /usr/local/,Linux,
dmidecode -x dir2,Linux,
pkill,Linux,
sfdisk,Linux,
vgcreate --version,Linux,
touch --force,Linux,
kpartx,Linux,
kpartx  network.log,Linux,
passwd -z,Linux,
touch -n config.conf,Linux,
e2fsck  /home/user/,Linux,
cryptsetup  kubernetes.yml,Linux,
cut  /srv/www/,Linux,
fdisk,Linux,
cryptsetup  backup.tar,Linux,
modinfo --dry-run /home/user/,Linux,
lvremove -u,Linux,
rmdir -y backup.tar,Linux,
kpartx --interactive config.yaml,Linux,
cp  /mnt/usb,Linux,
grub2-mkconfig --version report.csv,Linux,
df -m,Linux,
modprobe,Linux,
ln,Linux,
nano  file1.log,Linux,
stat  /dev/sda1,Linux,
tune2fs  config.conf,Linux,
mount --all,Linux,
ping -s /etc/,Linux,
top,Linux,
df --recursive,Linux,
kpartx -l,Linux,
lvextend  /dev/sda1,Linux,
mkfs.xfs  kubernetes.yml,Linux,
uptime --help archive.tar.gz,Linux,
yum  /usr/local/,Linux,
mkfs.vfat -z,Linux,
update-grub -x index.html,Linux,
sfdisk --recursive,Linux,
dracut --verbose script.sh,Linux,
mkfs.hfsplus  /home/user/,Linux,
chpasswd,Linux,
systemctl -h kubernetes.yml,Linux,
grub2-install  report.csv,Linux,
uniq -x,Linux,
uptime  /etc/,Linux,
whoami  style.css,Linux,
chmod,Linux,
sort  dir2,Linux,
mkinitrd  file1.log,Linux,
nohup,Linux,
fsck,Linux,
df,Linux,
journalctl  script.sh,Linux,
awk  /usr/local/,Linux,
iptables -t backup.tar,Linux,
mkfs.hfsplus  file2.txt,Linux,
killall -c,Linux,
more  usb.img,Linux,
swapon -u,Linux,
uptime --version index.html,Linux,
bg --interactive,Linux,
mkfs.xfs  backup.tar,Linux,
cryptsetup,Linux,
lspci -y,Linux,
grub-install,Linux,
lsblk  script.sh,Linux,
initramfs,Linux,
usermod,Linux,
kpartx,Linux,
initramfs -d,Linux,
free -a,Linux,
whoami,Linux,
iptables -t,Linux,
mkfs,Linux,
sudoedit -t archive.tar.gz,Linux,
ssh,Linux,
df  file.txt,Linux,
gdisk,Linux,
mkfs.vfat -p docker-compose.yml,Linux,
mount,Linux,
visudo -w disk.img,Linux,
cat  /mnt/usb,Linux,
tar -y,Linux,
cryptsetup -n,Linux,
insmod -x,Linux,
grub-install --help /usr/local/,Linux,
groupadd --help,Linux,
gpasswd -h,Linux,
setfacl,Linux,
tr,Linux,
userdel -v,Linux,
sftp  config.yaml,Linux,
mkfs.btrfs -x,Linux,
mkfs.minix --help,Linux,
touch --verbose,Linux,
sudo --force dir2,Linux,
lvextend -c /dev/sda1,Linux,
insmod --quiet playbook.yml,Linux,
nano  /tmp/,Linux,
more -s,Linux,
lvremove  /var/log/,Linux,
tee,Linux,
grub2-install  script.sh,Linux,
mv,Linux,
fsck --quiet disk.img,Linux,
mkdir,Linux,
reboot -e /etc/,Linux,
mkfs.ntfs,Linux,
du --verbose file.txt,Linux,
lsmod -s script.sh,Linux,
mkinitrd -t,Linux,
mkfs.btrfs  docker-compose.yml,Linux,
uptime -s /etc/,Linux,
mkfs.msdos  playbook.yml,Linux,
mkfs.hfsplus --dry-run,Linux,
chattr,Linux,
lsblk,Linux,
e2fsck --force backup.tar,Linux,
lsblk,Linux,
cryptsetup -x,Linux,
crontab -m,Linux,
man --all,Linux,
gunzip,Linux,
vgremove -r,Linux,
cryptsetup --recursive /tmp/,Linux,
useradd,Linux,
crontab -a,Linux,
losetup,Linux,
cryptsetup -e /var/log/,Linux,
swapon -u,Linux,
cut  dir2,Linux,
update-initramfs  file.txt,Linux,
history  config.yaml,Linux,
lsmod,Linux,
dracut  /tmp/,Linux,
rmmod -z,Linux,
batch -o script.sh,Linux,
lsusb -r,Linux,
e2fsck  report.csv,Linux,
export -o,Linux,
tail --quiet,Linux,
uptime -w app.js,Linux,
whoami --force,Linux,
screen,Linux,
grub-mkconfig -q,Linux,
mkfs.btrfs  config.conf,Linux,
pvcreate --verbose docker-compose.yml,Linux,
sftp --dry-run file1.log,Linux,
pvresize  usb.img,Linux,
lvscan --dry-run logfile.log,Linux,
screen,Linux,
gdisk,Linux,
lvextend,Linux,
lvremove  dir1,Linux,
rmmod,Linux,
alias -g,Linux,
history -v file1.log,Linux,
pwd,Linux,
grub-install -g,Linux,
lvcreate  script.sh,Linux,
cut -y,Linux,
whoami --force,Linux,
gunzip -y,Linux,
modprobe,Linux,
vgcreate,Linux,
mkfs.hfsplus -r,Linux,
rmdir -u config.yaml,Linux,
mkfs.ntfs  /mnt/usb,Linux,
df,Linux,
mkfs.xfs,Linux,
gzip --version,Linux,
lvcreate,Linux,
whoami,Linux,
ftp --force,Linux,
swapoff,Linux,
find  disk.img,Linux,
route -s,Linux,
xargs -c,Linux,
mkinitrd -d /var/log/,Linux,
vgextend,Linux,
grub2-mkconfig  style.css,Linux,
netstat --recursive logfile.log,Linux,
mkfs.vfat  config.conf,Linux,
pvcreate,Linux,
uptime -h /var/log/,Linux,
gpasswd  report.csv,Linux,
mkfs --recursive,Linux,
vgremove  /home/user/,Linux,
dmsetup  /srv/www/,Linux,
gpasswd  index.html,Linux,
chmod -d,Linux,
dmstats,Linux,
cryptdisks_stop,Linux,
sudo -i kubernetes.yml,Linux,
passwd,Linux,
cryptdisks_start -l app.js,Linux,
alias --all /home/user/,Linux,
dmsetup  disk.img,Linux,
swapoff -f,Linux,
more --verbose style.css,Linux,
alias -x dir1,Linux,
halt  dir2,Linux,
curl  report.csv,Linux,
grub2-mkconfig,Linux,
bg,Linux,
mount -a,Linux,
systemctl -r dir1,Linux,
locate  network.log,Linux,
gdisk  /tmp/,Linux,
lsmod,Linux,
pvmove -a report.csv,Linux,
update-grub  /home/user/,Linux,
ssh  file1.log,Linux,
tune2fs -f,Linux,
gunzip -s,Linux,
batch -u file1.log,Linux,
rmdir  dir2,Linux,
kpartx,Linux,
gzip,Linux,
dmstats --recursive backup.tar,Linux,
grub-install --recursive,Linux,
lvreduce -o /mnt/usb,Linux,
lsblk -y script.sh,Linux,
passwd  /etc/,Linux,
vgremove -m,Linux,
cal -x config.conf,Linux,
updatedb -i,Linux,
sudo  /usr/local/,Linux,
crontab -o disk.img,Linux,
crontab --all,Linux,
service  /tmp/,Linux,
alias -p,Linux,
groupdel -y file.txt,Linux,
mount  /home/user/,Linux,
stat  disk.img,Linux,
losetup -z disk.img,Linux,
lspci,Linux,
cd  network.log,Linux,
mkfs.ext4,Linux,
df --dry-run,Linux,
losetup --quiet playbook.yml,Linux,
lsblk -w dir1,Linux,
halt --help config.conf,Linux,
halt -w kubernetes.yml,Linux,
vgremove -v,Linux,
ftp -r,Linux,
mkfs.msdos -f script.sh,Linux,
fsck  report.csv,Linux,
vmstat  dir1,Linux,
mkfs.btrfs -y,Linux,
cp -q,Linux,
dmesg -y output.txt,Linux,
echo -t kubernetes.yml,Linux,
grub-mkconfig -n,Linux,
dmsetup,Linux,
apt-get -w,Linux,
tail,Linux,
pvcreate -h usb.img,Linux,
fdisk -u,Linux,
mkfs.hfsplus,Linux,
mkfs.vfat -d,Linux,
chmod  logfile.log,Linux,
hostname  style.css,Linux,
setfacl -u output.txt,Linux,
cp,Linux,
journalctl  main.py,Linux,
free  logfile.log,Linux,
tail --interactive config.yaml,Linux,
pkill --quiet,Linux,
chown -t,Linux,
rsync -m /etc/,Linux,
blkid,Linux,
vgextend,Linux,
blkid  docker-compose.yml,Linux,
umount  usb.img,Linux,
cryptsetup,Linux,
vgremove,Linux,
netstat  file1.log,Linux,
gpasswd -f /etc/,Linux,
mkfs.xfs --all,Linux,
xargs -n,Linux,
losetup  /home/user/,Linux,
echo,Linux,
du,Linux,
usermod  output.txt,Linux,
cryptdisks_stop -l,Linux,
tmux --interactive,Linux,
update-grub -b,Linux,
dmstats  file2.txt,Linux,
mkfs.ntfs,Linux,
update-initramfs -i config.conf,Linux,
sftp,Linux,
chpasswd -a dir1,Linux,
fdisk -d /etc/,Linux,
lsmod --quiet,Linux,
mkfs.btrfs -x file.txt,Linux,
pvremove  file1.log,Linux,
cryptsetup -w /usr/local/,Linux,
yum -w /etc/,Linux,
modprobe,Linux,
nano  index.html,Linux,
grub2-mkconfig,Linux,
dmidecode -p,Linux,
pvremove -o config.conf,Linux,
touch -n config.conf,Linux,
service,Linux,
lvscan  file1.log,Linux,
free,Linux,
watch  dir1,Linux,
grub2-install -r playbook.yml,Linux,
top,Linux,
sftp,Linux,
vgremove -d dir2,Linux,
stat -y,Linux,
watch -f /dev/sda1,Linux,
awk --recursive,Linux,
mkfs.btrfs -p usb.img,Linux,
mkinitramfs,Linux,
journalctl,Linux,
cd -r config.conf,Linux,
fsck -d,Linux,
umount  kubernetes.yml,Linux,
pvremove --version playbook.yml,Linux,
cryptdisks_stop -h,Linux,
mkdir,Linux,
scp -e /var/log/,Linux,
tune2fs -r /mnt/usb,Linux,
cp  /etc/,Linux,
lvremove,Linux,
head -z usb.img,Linux,
lvscan,Linux,
df  logfile.log,Linux,
nano -o,Linux,
mkinitramfs,Linux,
route -y app.js,Linux,
uptime,Linux,
systemctl  usb.img,Linux,
chmod  /tmp/,Linux,
lsblk --dry-run logfile.log,Linux,
gdisk,Linux,
alias -r,Linux,
uname,Linux,
update-initramfs -n,Linux,
mkfs --recursive,Linux,
pvmove,Linux,
swapoff -a,Linux,
mkpasswd  logfile.log,Linux,
lvremove,Linux,
tune2fs,Linux,
kpartx,Linux,
chattr  archive.tar.gz,Linux,
modprobe -a logfile.log,Linux,
groupdel -i /var/log/,Linux,
dracut --all /tmp/,Linux,
fdisk,Linux,
lspci  dir1,Linux,
setfacl -n app.js,Linux,
rmdir -o /srv/www/,Linux,
scp  usb.img,Linux,
vgextend  kubernetes.yml,Linux,
mkpasswd -l,Linux,
whoami -x dir2,Linux,
journalctl,Linux,
mkfs.vfat  kubernetes.yml,Linux,
uniq  kubernetes.yml,Linux,
mkfs.ext4  network.log,Linux,
vgremove,Linux,
pvdisplay,Linux,
pvremove  index.html,Linux,
mkinitrd -z docker-compose.yml,Linux,
e2fsck,Linux,
dmsetup -f dir2,Linux,
fg  archive.tar.gz,Linux,
sfdisk -z /var/log/,Linux,
lvcreate,Linux,
grub-install,Linux,
losetup,Linux,
yum  /tmp/,Linux,
initramfs  /etc/,Linux,
wget -w style.css,Linux,
crontab,Linux,
mdadm -a file2.txt,Linux,
modinfo  config.conf,Linux,
umount -y,Linux,
tune2fs -v index.html,Linux,
losetup,Linux,
passwd  disk.img,Linux,
route,Linux,
cal,Linux,
mount  playbook.yml,Linux,
fg  playbook.yml,Linux,
update-grub,Linux,
tar  /etc/,Linux,
mount -h,Linux,
chown  report.csv,Linux,
vim -d,Linux,
env -r backup.tar,Linux,
mkinitrd -r,Linux,
vgcreate --interactive app.js,Linux,
tar  playbook.yml,Linux,
lvextend,Linux,
mkfs.minix --all,Linux,
cat  app.js,Linux,
blkid,Linux,
less  /dev/sda1,Linux,
mkinitramfs,Linux,
nano --help config.conf,Linux,
lvdisplay -y,Linux,
cryptsetup  archive.tar.gz,Linux,
bg --all usb.img,Linux,
gdisk -z,Linux,
route  file1.log,Linux,
cryptdisks_stop --force style.css,Linux,
df,Linux,
uptime,Linux,
grub-mkconfig,Linux,
dracut --help /var/log/,Linux,
javac Main.java,Java,Compiles a Java file
pvremove -o config.yaml,Linux,
update-grub --interactive,Linux,
df --verbose main.py,Linux,
dracut --interactive,Linux,
visudo  /home/user/,Linux,
wget,Linux,
cryptsetup  archive.tar.gz,Linux,
sfdisk,Linux,
blkid -u file1.log,Linux,
whoami  config.conf,Linux,
scp,Linux,
mkinitramfs  config.yaml,Linux,
groupdel -z script.sh,Linux,
lvreduce,Linux,
chmod --help playbook.yml,Linux,
tune2fs --help /var/log/,Linux,
mount -p,Linux,
losetup,Linux,
ftp -s main.py,Linux,
blkid  script.sh,Linux,
df -n,Linux,
kpartx  style.css,Linux,
partprobe -a file1.log,Linux,
pwd  network.log,Linux,
mkfs.hfsplus  /etc/,Linux,
cat -f dir2,Linux,
service -d,Linux,
cat -w,Linux,
rsync  app.js,Linux,
cryptdisks_stop  file1.log,Linux,
du  file.txt,Linux,
rm,Linux,
chattr,Linux,
vim,Linux,
tee -v disk.img,Linux,
cryptdisks_stop --all,Linux,
chmod,Linux,
cut -t,Linux,
rsync  /usr/local/,Linux,
du  /mnt/usb,Linux,
vgdisplay  /usr/local/,Linux,
watch -q script.sh,Linux,
ps --dry-run,Linux,
passwd  /mnt/usb,Linux,
dracut --interactive main.py,Linux,
